BRANCH,SERVICE HOURS,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,BRANCH EMAIL,LOCATION,Latitude,Longitude,CENSUS_TRACT
Merlo,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",644 W. Belmont Ave.,Chicago,IL,60657,(312) 744-1139,https://www.chipublib.org/locations/51/,merlo@chipublib.org,"    (41.940131637508564, -87.64602857926714)",41.94013163750856,-87.64602857926714,17031062000
Mount Greenwood,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11010 S. Kedzie Ave.,Chicago,IL,60655,(312) 747-2805,https://www.chipublib.org/locations/52/,mountgreenwood@chipublib.org,"    (41.693015814018004, -87.70102477600602)",41.693015814018,-87.70102477600602,17031740300
Near North,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",310 W. Division St.,Chicago,IL,60610,(312) 744-0991,https://www.chipublib.org/locations/53/,nearnorth@chipublib.org,"    (41.90393142178499, -87.63660775555267)",41.90393142178499,-87.63660775555267,17031080300
North Austin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5724 W. North Ave.,Chicago,IL,60639,(312) 746-4233,https://www.chipublib.org/locations/54/,northaustin@chipublib.org,"    (41.909444834238485, -87.76898326931509)",41.909444834238485,-87.76898326931509,17031250400
North Pulaski,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4300 W. North Ave.,Chicago,IL,60639,(312) 744-9573,https://www.chipublib.org/locations/55/,northpulaski@chipublib.org,"    (41.90989766464456, -87.73376822625004)",41.90989766464456,-87.73376822625004,17031230500
Northtown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6800 N. Western Ave.,Chicago,IL,60645,(312) 744-2292,https://www.chipublib.org/locations/56/,northtown@chipublib.org,"    (42.00507612272344, -87.69021903022175)",42.00507612272344,-87.69021903022175,17031020300
Oriole Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",7454 W. Balmoral Ave.,Chicago,IL,60656,(312) 744-1965,https://www.chipublib.org/locations/57/,oriolepark@chipublib.org,"    (41.978098111742476, -87.81420029973704)",41.97809811174248,-87.81420029973704,17031100500
Portage-Cragin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5108 W. Belmont Ave.,Chicago,IL,60641,(312) 744-0152,https://www.chipublib.org/locations/58/,portage-cragin@chipublib.org,"    (41.93883597361448, -87.75467117455794)",41.93883597361448,-87.75467117455794,17031151000
Pullman,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11001 S. Indiana Ave.,Chicago,IL,60628,(312) 747-2033,https://www.chipublib.org/locations/59/,pullman@chipublib.org,"    (41.69436481773882, -87.6181414059763)",41.69436481773882,-87.6181414059763,17031490900
Roden,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6083 N. Northwest Hwy.,Chicago,IL,60631,(312) 744-1478,https://www.chipublib.org/locations/60/,roden@chipublib.org,"    (41.99199760467718, -87.79820642998901)",41.99199760467718,-87.79820642998901,17031100200
Rogers Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6907 N. Clark St.,Chicago,IL,60626,(312) 744-0156,https://www.chipublib.org/locations/61/,scottsdale@chipublib.org,"    (42.00682227244734, -87.67330813329413)",42.00682227244734,-87.67330813329413,17031010700
Scottsdale,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4101 W. 79th St.,Chicago,IL,60652,(312) 747-0193,https://www.chipublib.org/locations/63/,scottsdale@chipublib.org,"    (41.74928543110801, -87.72440869132882)",41.74928543110801,-87.72440869132882,17031700300
Sherman Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5440 S. Racine Ave.,Chicago,IL,60609,(312) 747-0477,https://www.chipublib.org/locations/64/,shermanpark@chipublib.org,"    (41.79476901885989, -87.65502837616037)",41.79476901885989,-87.65502837616037,17031611900
South Chicago,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",9055 S. Houston Ave.,Chicago,IL,60617,(312) 747-8065,https://www.chipublib.org/locations/65/,southchicago@chipublib.org,"    (41.73029771500594, -87.54972658730712)",41.73029771500594,-87.54972658730712,17031460900
South Shore,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2505 E. 73rd St.,Chicago,IL,60649,(312) 747-5281,https://www.chipublib.org/locations/66/,southshore@chipublib.org,"    (41.76254141905116, -87.56387694448408)",41.76254141905116,-87.56387694448408,17031431300
Sulzer Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,(312) 744-7616,https://www.chipublib.org/locations/67/,sulzerregional@chipublib.org,"    (41.962966859427524, -87.68469465366664)",41.96296685942752,-87.68469465366664,17031040900
Thurgood Marshall,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7506 S. Racine Ave.,Chicago,IL,60620,(312) 747-5927,https://www.chipublib.org/locations/68/,thurgoodmarshall@chipublib.org,"    (41.757343880012456, -87.6540643783153)",41.757343880012456,-87.6540643783153,17031710200
Toman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2708 S. Pulaski Rd.,Chicago,IL,60623,(312) 745-1660,https://www.chipublib.org/locations/69/,toman@chipublib.org,"    (41.842086096760674, -87.72463965526215)",41.842086096760674,-87.72463965526215,17031301800
Uptown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",929 W. Buena Ave.,Chicago,IL,60613,(312) 744-8400,https://www.chipublib.org/locations/70/,uptown@chipublib.org,"    (41.95832305807637, -87.65424744448335)",41.95832305807637,-87.65424744448335,17031032100
Vodak-East Side,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3710 E. 106th St.,Chicago,IL,60617,(312) 747-5500,https://www.chipublib.org/locations/71/,vodak-eastside@chipublib.org,"    (41.70283443594318, -87.61428978448026)",41.70283443594318,-87.61428978448026,17031490900
Walker,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11071 S. Hoyne Ave.,Chicago,IL,60643,(312) 747-1920,https://www.chipublib.org/locations/72/,walker@chipublib.org,"    (41.69198346617567, -87.6739093032301)",41.69198346617567,-87.6739093032301,17031750200
Water Works,"Mon.- Thurs., 10-6 Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,(312) 742-8811,https://www.chipublib.org/locations/73/,waterworks@chipublib.org,"    (41.897484072390675, -87.62337776811282)",41.89748407239068,-87.62337776811282,17031081300
West Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3104 N. Narragansett Ave.,Chicago,IL,60611,(312) 746-5142,https://www.chipublib.org/locations/74/,westbelmont@chipublib.org,"    (41.9366521886413, -87.78602401236114)",41.9366521886413,-87.78602401236114,17031190500
West Chicago Avenue,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4856 W. Chicago Ave.,Chicago,IL,60634,(312) 743-0260,https://www.chipublib.org/locations/75/,westchicago@chipublib.org,"    (41.8950961032908, -87.74806072822989)",41.8950961032908,-87.74806072822989,17031251000
West Englewood,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1745 W. 63rd St.,Chicago,IL,60651,(312) 747-3481,https://www.chipublib.org/locations/76/,westenglewood@chipublib.org,"    (41.77928203936906, -87.66843344429459)",41.77928203936906,-87.66843344429459,17031671200
West Lawn,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4020 W. 63rd St.,Chicago,IL,60636,(312) 747-7381,https://www.chipublib.org/locations/77/,westlawn@chipublib.org,"    (41.77875389246921, -87.72374295317714)",41.77875389246921,-87.72374295317714,17031650200
West Loop,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",122 N. Aberdeen St.,Chicago,IL,60607,(312) 744-2995,https://www.chipublib.org/locations/88/,westloop@chipublib.org,"    (41.8837105009142, -87.6545650515331)",41.8837105009142,-87.6545650515331,17031280200
West Pullman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",830 W. 119th St.,Chicago,IL,60643,(312) 747-1425,https://www.chipublib.org/locations/78/,westpullman@chipublib.org,"    (41.67790647382097, -87.6431683153105)",41.67790647382097,-87.6431683153105,17031530300
West Town,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1625 W. Chicago Ave.,Chicago,IL,60622,(312) 743-0450,https://www.chipublib.org/locations/79/,westtown@chipublib.org,"    (41.89594730478282, -87.66829305460979)",41.89594730478282,-87.66829305460979,17031243200
"Whitney M. Young, Jr.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",415 East 79th St.,Chicago,IL,60619,(312) 747-0039,https://www.chipublib.org/locations/80/,whitneyyoung@chipublib.org,"    (41.7510184591363, -87.61495065361933)",41.7510184591363,-87.61495065361933,17031440200
Woodson Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",9525 S. Halsted St.,Chicago,IL,60628,(312) 747-6900,https://www.chipublib.org/locations/81/,woodsonregional@chipublib.org,"    (41.720694885749005, -87.64304817213312)",41.720694885749005,-87.64304817213312,17031730500
Wrightwood-Ashburn,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8530 S. Kedzie Ave.,Chicago,IL,60652,(312) 747-2696,https://www.chipublib.org/locations/82/,wrightwood-ashburn@chipublib.org,"    (41.73795704970435, -87.70221598421591)",41.73795704970435,-87.70221598421591,17031700400
